audit_id,timestamp,label,command,files,cwd,syscall,exe,uid,euid,auid,key,success,exit,a0,a1,a2,a3,num_files,log_template
821603,2025-09-29 16:36:14.248,BENIGN,shuf,/lib64/ld-linux-x86-64.so.2|/usr/bin/shuf,/home/ubuntu,execve,/usr/bin/shuf,root,root,ubuntu,ROOT_COMMANDS,yes,0,0x6263ffc0ab70,0x6263ffc0b420,0x6263ffc09110,0x6263ffc0bcc0,2,SYSCALL_execve UID_root
821606,2025-09-29 16:36:14.267,BENIGN,systemctl status ssh,/lib64/ld-linux-x86-64.so.2|/usr/bin/systemctl,/home/ubuntu,execve,/usr/bin/systemctl,root,root,ubuntu,PERSISTENCE,yes,0,0x6263ffc26970,0x6263ffc27220,0x6263ffc09110,0x6263ffc27250,2,SYSCALL_execve UID_root TIME_GAP_SHORT
821607,2025-09-29 16:36:14.277,BENIGN,(pager),/usr/local/sbin/less,/home/ubuntu,execve,/usr/bin/systemctl,root,root,ubuntu,ROOT_COMMANDS,no,"ENOENT(No,such,file,or,directory)",0x7fff300c5830,0x7fff300c5940,0x5d95a5a6b680,0x5d9576a9ca62,1,SYSCALL_execve UID_root TIME_GAP_SHORT
821608,2025-09-29 16:36:14.277,BENIGN,(pager),/usr/local/bin/less,/home/ubuntu,execve,/usr/bin/systemctl,root,root,ubuntu,ROOT_COMMANDS,no,"ENOENT(No,such,file,or,directory)",0x7fff300c5830,0x7fff300c5940,0x5d95a5a6b680,0x5d9576a9ca62,1,SYSCALL_execve UID_root TIME_GAP_SHORT
821609,2025-09-29 16:36:14.277,BENIGN,(pager),/usr/sbin/less,/home/ubuntu,execve,/usr/bin/systemctl,root,root,ubuntu,ROOT_COMMANDS,no,"ENOENT(No,such,file,or,directory)",0x7fff300c5830,0x7fff300c5940,0x5d95a5a6b680,0x5d9576a9ca62,1,SYSCALL_execve UID_root TIME_GAP_SHORT
821610,2025-09-29 16:36:14.277,BENIGN,(pager),/usr/bin/less|/lib64/ld-linux-x86-64.so.2,/home/ubuntu,execve,/usr/bin/less,root,root,ubuntu,ROOT_COMMANDS,yes,0,0x7fff300c5830,0x7fff300c5940,0x5d95a5a6b680,0x5d9576a9ca62,2,SYSCALL_execve UID_root TIME_GAP_SHORT
821611,2025-09-29 16:36:14.282,BENIGN,(pager),/root/.lesshst,/home/ubuntu,openat,/usr/bin/less,root,root,ubuntu,PRIVILEGE_ESCALATION,yes,3,AT_FDCWD,0x5a2b0f72a3b0,O_RDONLY,0x0,1,SYSCALL_openat UID_root TIME_GAP_SHORT
821612,2025-09-29 16:36:14.282,BENIGN,(pager),/root/.lesshst,/home/ubuntu,openat,/usr/bin/less,root,root,ubuntu,PRIVILEGE_ESCALATION,yes,3,AT_FDCWD,0x5a2b0f72a3b0,O_RDONLY,0x0,1,SYSCALL_openat UID_root TIME_GAP_SHORT
821617,2025-09-29 16:36:37.328,BENIGN,,,,,,,,,,,,,,,,0,TIMING_SLOW
821619,2025-09-29 16:36:37.332,BENIGN,,,,,,,,,,,,,,,,0,TIME_GAP_SHORT
821620,2025-09-29 16:36:37.333,BENIGN,,,,,,,,,,,,,,,,0,TIME_GAP_SHORT
821622,2025-09-29 16:36:37.582,BENIGN,,,,,,,,,,,,,,,,0,TIME_GAP_MEDIUM
